#numAllW:283444091
WIKIPEDIA,77307
ARTÍCULOS,74998
SOLICITADOS,1162
EN,9535182
ESPAÑOL,93527
ES,2200257
UNA,2382494
ENCICLOPEDIA,15047
CONSTANTE,13750
CRECIMIENTO,23581
POR,2796172
ESTA,441402
CAUSA,37387
ALGUNAS,94820
DE,20263399
LAS,2461512
ENTRADAS,6011
QUE,5099296
EL,8541887
USUARIO,53953
ESPERA,11457
ENCONTRAR,30965
ESTÁN,105234
VACÍAS,775
Y,7447003
SIN,340721
CONTENIDO,29686
COMO,1618214
WIKIPEDISTA,2099
ERES,4077
PUEDES,9928
COLABORAR,4795
SOLICITANDO,1107
AÚN,59711
NO,1169323
EXISTAN,1401
O,893583
AYUDANDO,2175
A,5134254
CREAR,34437
AQUELLOS,24087
OTROS,254584
HAYAN,6666
SOLICITADO,2671
QUIERO,9913
UN,2772948
ARTÍCULO,113183
HA,397364
SIDO,167680
SOLICITAR,3269
LA,11150275
CREACIÓN,41843
PULSA,393
SOBRE,404180
TEMA,60534
ADECUADO,6490
TABLA,16310
SIGUIENTE,74861
LUEGO,128068
«,17089
AGREGA,3188
NUEVA,115426
SOLICITUD,4947
»,25014
LEE,11172
ATENTAMENTE,725
INSTRUCCIONES,6296
ESTE,515422
LUGAR,170982
PARA,1633972
ESCRIBIR,17414
SI,266874
LO,804232
HACES,1855
SERÁ,36806
TOMADA,4857
CUENTA,111520
TÚ,8861
MISMO,210855
VISITA,13309
SOLICITUDES,1368
SERÁN,11831
AUTOMÁTICAMENTE,4063
DESESTIMADAS,50
CAMBIOS,29003
RECIENTES,10219
WIKIPROYECTOS,1182
DISPONE,10211
VARIOS,114439
PROYECTOS,21764
INTERNOS,6553
MEJORAR,14218
LOS,4015773
CIERTAS,13128
TEMÁTICAS,1965
ESTOS,132034
SU,2202621
VEZ,193542
SOLICITAN,508
TRATAN,4832
AQUÍ,53896
TIENES,5798
ENLACE,20359
ANDORRA,1428
PRINCIPADO,3573
PRINCIPAT,79
D,105820
DEL,3715059
SUR,138497
CON,2562727
EXTENSIÓN,24507
468,1048
KM,67549
SUP,74294
2,356427
SITUADO,37650
ENTRE,557274
ALTITUD,14535
MEDIA,44641
1,419091
996,545
METROS,52187
NIVEL,71860
MAR,79993
FRONTERIZO,1348
LIMITANDO,1001
COMARCAS,2999
NORTE,123954
DEPARTAMENTO,44340
REGIÓN,115712
TERRITORIO,56015
CAPITAL,71643
ESTÁ,306619
FORMADO,24121
SIETE,29766
PARROQUIAS,4528
POBLACIÓN,167828
TOTAL,73117
84,40919
484,1005
HABITANTES,93520
REF,1684056
NAME,366806
DATOS,59505
CONSTITUIDO,4748
CUYO,37328
RÉGIMEN,18797
POLÍTICO,49232
TIENE,273095
AL,1603432
ACTUALMENTE,87206
ACTUALIDAD,43546
ACTUAL,77171
IDIOMA,20106
OFICIAL,63446
CONSTITUCIO,5
PROPIAS,15219
RESPONSABILIDAD,8683
ESPAÑA,111836
FRANCIA,42324
CASO,97401
EMERGENCIAS,1158
DESASTRES,1775
NATURALES,21323
EJEMPLO,98898
OCURRIERON,1374
AÑO,329796
SE,3347418
CONVOCA,1294
HOMBRES,54801
MAYORES,29254
18,97964
AÑOS,380192
NACIONALIDAD,5392
ANDORRANA,166
DURANTE,338469
MUCHO,72681
TIEMPO,171873
POBRE,6907
AISLADO,2326
CONSEGUIDO,6960
NOTABLE,12187
PROSPERIDAD,2539
DESDE,386989
TRAVÉS,83980
ESPECIALMENTE,47461
CONDICIÓN,14792
ETIMOLOGÍA,5311
ORIGEN,74095
PALABRA,35577
DESCONOCIDO,6739
AUNQUE,204981
HAN,165594
FORMULADO,427
DIVERSAS,34442
TEORÍAS,8719
RESPECTO,37282
TEORÍA,29254
SUGIERE,5941
PODRÍA,38969
DERIVAR,1051
DARRA,25
SIGNIFICADO,13482
‘BOSQUE’,4
CUANDO,309468
S,567743
INVADIERON,1250
VALLES,6820
PIRINEOS,1600
ESTABAN,38549
FORMADOS,3918
GRANDES,95311
EXTENSIONES,2865
PUEBLOS,30742
REGIONES,22584
TAMBIÉN,640197
DOMINADAS,406
RECIBIERON,5487
DENOMINACIÓN,16252
OTRAS,156099
SUGIEREN,2787
DERIVA,9468
TÉRMINO,57700
NAVARRO,5816
ANDURRIAL,3
SIGNIFICA,33304
‘TIERRA,82
CUBIERTA,12628
ARBUSTOS’,3
ROOM,1526
ADRIAN,1769
1997,45930
MCFARLAND,170
COMPANY,7155
ESTADOS,85185
UNIDOS,64535
AMÉRICA,31707
P,124377
29,49807
OTRO,130525
LADO,64066
POPULAR,51821
AFIRMA,10234
HABÍA,187567
NOMBRADO,37233
REFERENCIA,43640
VALLE,35344
BÍBLICO,1254
ENDOR,178
FREEDMAN,140
PAUL,16859
1999,54752
STANFORD,1408
UNIVERSITY,21168
PRESS,26277
189,3182
ANDOR,48
MORAN,488
I,141439
OCERINJAUREGUI,1
JOSEP,3752
MARTÍ,2110
CASTELL,733
JOAN,5841
2004,87728
PUBLICACIONS,168
L,80552
ABADIA,567
MONTSERRAT,1399
CATALUNYA,3643
ISBN,91718
8415,26
672,738
9,105950
124,4054
DONDE,333922
MADIANITAS,16
HABÍAN,54481
DERROTADOS,3512
SÍMBOLOS,8179
ESCUDO,23845
ARMAS,34109
LEMA,4943
VIRTUS,106
UNITA,230
FORTIOR,10
CUATRO,97857
CUARTELES,1864
DOS,396344
CADA,169936
COPRÍNCIPE,22
OMPA,4
CATALÁN,10464
PRIMER,211533
SUPERIOR,47179
IZQUIERDO,8051
VISTA,36894
OBSERVADOR,2628
OBISPADO,2644
SEO,746
URGEL,761
SEGUNDO,90240
CUARTEL,6647
DERECHO,51886
OJOS,16481
ORO,41939
TRES,183085
PALOS,2664
GULES,1642
CONDADO,32554
FOIX,578
TERCER,34071
INFERIOR,19719
SEGÚN,130293
LEY,49305
FUENTES,41068
EXPERTAS,185
HERÁLDICA,2043
EMBLEMA,3127
PERTENECIÓ,6072
CFR,890
ALBERTO,13938
MONTANER,751
FRUTOS,5925
SEÑAL,13832
REY,100696
ARAGÓN,10984
HISTORIA,230484
ZARAGOZA,10999
INSTITUCIÓN,17581
«FERNANDO,156
CATÓLICO»,152
1995,42923
PÁG,15732
41,19793
7820,113
283,1855
8,127719
CUARTO,24390
BUEYES,725
PUESTOS,11308
PALO,4409
VIZCONDADO,432
BANDERA,21500
ADOPTÓ,5417
OFICIALMENTE,17344
TRICOLOR,929
VERTICAL,6330
AZUL,23393
AMARILLO,10743
ROJO,23557
FRANJA,5029
AMARILLA,4074
LIGERAMENTE,8107
MÁS,964844
GRANDE,46847
CENTRO,110132
MUESTRA,38612
DIFERENCIARLA,189
BANDERAS,4868
HIMNO,6898
LETRA,18257
TITULADO,14350
ESCRIBIÓ,28476
MÚSICA,90512
FUE,1091422
COMPUESTA,17785
INTERPRETÓ,7224
PRIMERA,229654
PREHISTORIA,2224
PERIODO,35828
PEQUEÑOS,26994
GRUPOS,55955
HUMANOS,25505
ASENTARON,1445
PRÓXIMAS,2996
PUNTOS,62517
ENCONTRÓ,14052
FABRICADO,3207
LOSAS,539
CONTENÍA,4963
RESTOS,28294
BRAZALETES,306
RECIPIENTES,921
ALIMENTOS,11123
DEBIDO,116751
FERTILIDAD,1818
TIERRAS,31492
CULTIVARON,285
ESTABLECIERON,5706
DEFINITIVAMENTE,10541
RECIBIENDO,4862
PASARON,8035
CULTURA,53181
BENEFICIARSE,466
METALES,4159
IMPERIO,25398
ROMANO,16334
ESCRITA,20037
ENCUENTRA,135673
DESCRIPCIÓN,26967
HIZO,84680
HISTORIADOR,10430
PASO,48429
SUCUMBE,141
OCUPAN,3863
MERIDIONAL,6338
PARTE,348214
EDAD,59537
TRESCIENTOS,945
DESPUÉS,267457
CONQUISTAN,290
ESE,145026
TRASPASANDO,132
FRONTERA,20193
DERROTA,17067
FRENANDO,115
EXPANSIÓN,13841
HACIA,139777
CONTINÚAN,3241
ASENTADOS,769
POSTERIORMENTE,66764
CREA,15225
E,279575
INTEGRA,5071
PERTENECÍAN,2723
SER,375260
CEDIDOS,596
TERRENOS,11008
ZONAS,39428
MONTAÑOSAS,1962
DEJARON,5427
TENER,73216
INTERÉS,38026
CONDE,24163
CEDE,1428
TODOS,175769
BIENES,12883
DERECHOS,32824
ADQUIRIDOS,1540
OBISPO,18364
CAMBIO,53904
PROTECCIÓN,20970
MILITAR,58322
CEDIÓ,2937
SUS,741359
POLÍTICOS,22161
MILITARES,25764
JUDICIALES,2589
FAMILIA,116185
CABOET,9
CONSERVÓ,1861
SOBERANÍA,5450
TRANSFORMANDO,762
DOMINIO,17044
TERRITORIAL,10806
ARNAUA,1
CONTRAJO,5593
MATRIMONIO,28318
SUPUSO,6749
QUIEN,134323
IRÁ,1843
AUMENTANDO,3838
PODER,94287
SIGLOS,23984
TARDE,77561
CONSECUENCIA,21498
CONFLICTOS,10050
SEPTIEMBRE,54478
FIRMA,23684
FIJA,4801
LÍMITES,15218
SEÑOR,26450
REPRESENTA,25556
FUNDACIÓN,34110
DEFINE,9850
OBLIGACIONES,3132
ANDORRANOS,45
MATERIA,15447
ASUNTOS,13195
DIEZ,25750
CONSTRUCCIÓN,64133
FORTIFICADA,1023
SAN,189749
VICENTE,13802
ENCLAR,2
PODÍA,24288
VIGILAR,1926
ACTIVIDADES,36835
FIRMÓ,10217
PAREATGE,3
TRATADO,22330
OTORGA,5232
ASPECTOS,16282
NOMBRAR,3997
AMBAS,28146
PARTES,38582
UNOS,99730
OSTENTEN,42
REPRESENTACIÓN,18454
CREÓ,21383
REPRESENTANTES,11516
6,159166
OBJETIVO,34228
DEFENDER,7560
INTERESES,11099
LOCALES,25187
HIJO,88513
INCORPORA,6093
CORONA,19059
FRANCESA,22020
ENTONCES,118009
NOVA,3890
REFORMA,14229
SOCIEDAD,49237
ANTERIOR,49090
SÓLO,148491
EXISTÍAN,5336
SOCIALES,25281
FOCS,20
ERAN,87287
CASAS,24183
ANDORRANAS,15
EXISTENTES,9964
HACÍA,16207
TENÍAN,28988
SUFICIENTES,4365
PAGAR,7789
CONSELL,367
GENERAL,158779
CASALERS,2
GRUPO,179519
POBRES,6917
VIDA,151024
POLÍTICA,77079
ÚNICAMENTE,15229
PODÍAN,13262
PARTICIPAR,16397
MIEMBROS,66679
PERTENECIENTES,9259
NÚMERO,113844
ERA,303676
179,2674
FRENTE,68745
600,12257
INICIÓ,23906
PROCESO,54549
DEMOCRATIZADOR,29
CONCEDIÓ,5978
PARTICIPACIÓN,28223
ACTIVA,9638
PUEBLO,87347
ANDORRANO,118
GOBIERNO,128889
PAÍS,122423
PRINCIPALES,68285
MODIFICACIONES,6660
FUERON,204031
CABEZA,34632
INCOMPATIBILIDAD,436
CARGO,55592
CONSEJERO,6215
CÒNSOL,4
COMÚ,42
DURACIÓN,14579
CARGOS,12541
RENOVACIÓN,4727
CONSEJEROS,2147
GENERALES,18484
LIMITACIÓN,1603
PARROQUIA,16170
COMISIONADO,2606
FINALIDAD,5958
FISCALIZAR,118
CONTROLAR,9440
ADMINISTRACIÓN,32012
CUENTAS,5691
PÚBLICAS,13268
SIGLO,117228
XX,25069
HASTA,366128
DESTACAMENTO,1618
FRANCESES,13556
OCUPÓ,11624
ALTERCADOS,271
PRODUCIDOS,4538
CONSEGUIR,19925
LUCHA,32138
MENOS,93694
ENCUBIERTA,401
COPRÍNCIPES,22
PARALELAMENTE,3285
OBREROS,4436
CONSTRUÍAN,610
CARRETERA,23560
VIEJA,8254
PROVENIENTES,6233
AFILIADOS,1755
INICIARON,4203
HUELGA,3907
REIVINDICAR,385
MEJORAS,6212
CONDICIONES,29206
TRABAJO,92296
ÚNICO,49281
HISTÓRICO,28462
CUAL,193451
DEPENDIÓ,313
NINGÚN,32321
SALVO,11930
ANEXIÓN,1942
DIRECTA,12164
DÍAS,73594
CUALES,68550
BARÓN,3743
ORANGE,3014
CIUDADANO,4766
LLAMADO,79967
AUTOPROCLAMÓ,259
APENAS,16602
NUEVE,15761
PROCLAMÓ,4241
BOLETÍN,3425
